Source Text,Translated Text
"Endpoint not yet implemented","نقطة النهاية غير مطبقة بعد"
"Internal server error","خطأ داخلي في الخادم"
"Documentation endpoint not yet implemented","نقطة نهاية التوثيق غير مطبقة بعد"
"Rate limit exceeded. Please try again later.","تم تجاوز حد المعدل. يرجى المحاولة مرة أخرى لاحقاً."
"API key is required","مفتاح API مطلوب"
"Unsupported content type","نوع المحتوى غير مدعوم"
"Validation failed","فشل في التحقق"
"Authentication failed","فشل في المصادقة"
"Insufficient permissions","صلاحيات غير كافية"
"Resource not found","المورد غير موجود"
"Resource not found: {0}","المورد غير موجود: {0}"
"Rate limit exceeded","تم تجاوز حد المعدل"
"File upload failed","فشل في رفع الملف"
"Invalid or expired token","رمز غير صالح أو منتهي الصلاحية"
"Permission denied","تم رفض الإذن"
"This field is required","هذا الحقل مطلوب"
"Invalid request format","تنسيق الطلب غير صالح"
"Application submitted successfully","تم تقديم الطلب بنجاح"
"Operation completed successfully","تمت العملية بنجاح"
"System is healthy","النظام يعمل بشكل سليم"
"System health check failed","فشل فحص صحة النظام"
"API information retrieved successfully","تم استرداد معلومات API بنجاح"
"Failed to retrieve API information","فشل في استرداد معلومات API"
